c-a,move to beginning of line,,bash motions
c-e,moves to end of line,,bash motions
c-f,moves forward one character,,bash motions
c-b,moves backward one character,,bash motions
a-f,moves forward one word,,bash motions
a-b,moves backward one word,,bash motions
c-h,deletes one character under cursor (same as DELETE),,bash delete
c-d,"deletes one character backward or logs out of current session, similar to exit",,bash delete
c-u,kills backward from point to the beginning of line,,bash delete
c-k,deletes (kill) forward to end of line,,bash delete
c-w,kills the word behind the cursor,,bash delete
a-d,deletes next word,,bash delete
a-h,deletes one character backward,,bash delete
